arm,split,mode,step,image_count,eligible_image_count,mae_m,bias_m,mean_image_std_ratio,below_min_fraction,foreground_mae_m,foreground_bias_m,foreground_pred_std_m,foreground_gt_std_m,foreground_mean_image_std_ratio,flat_image_fraction,local_contrast_ratio,local_slope,local_correlation,local_difference_mae_m,sigmoid_derivative_mean
D1,train,eval,500,16,16,0.042339204461313784,0.039356862544082105,1.0056421507301347,0.0,0.09964061481878161,0.09865307388827205,0.0582969686947763,0.04331311653368175,1.3795041781093924,0.0,2.0887580123042135,-0.5747614781867613,-0.2862777077803976,0.012655075755901635,0.24615744780749083
D1,train,eval,600,16,16,0.0158712639240548,-0.006713676775689237,0.9407407997004852,0.0,0.028540736762806773,-0.009427845550817437,0.032489380333572626,0.04331311653368175,0.7663903445342379,0.0,0.9064368359137979,0.4519200324609686,0.4960577730038476,0.004130751811317168,0.24214837979525328
D1,train,eval,700,16,16,0.0157081758370623,0.010934931749943644,0.7995179433455637,0.0,0.03404724143911153,0.0294748597079888,0.022325662430375814,0.04331311653368175,0.5275129147310825,0.0,0.9339514439367788,0.25861073040921556,0.283683991749231,0.0053793113911524415,0.24516997020691633
D1,train,eval,800,16,16,0.011545609566383064,0.0005342920994735323,0.9920742316749932,0.0,0.020196000288706273,-0.0018968730882988893,0.03826906031463295,0.04331311653368175,0.9006871819517971,0.0,1.1726680274932693,0.6554354214615903,0.5590360505933221,0.004435464332345873,0.24278983566910028
D1,train,eval,900,16,16,0.01230622734874487,0.00869766340838396,0.8668653123270206,0.0,0.022703722643200308,0.019170920775650302,0.039059608010575175,0.04331311653368175,0.9224328314398377,0.0,1.2032499688880507,0.5044577032461972,0.43256183988089986,0.004290969067369588,0.24452835600823164
D1,train,eval,1000,16,16,0.016457288875244558,0.014390978496521711,0.7980970395170587,0.0,0.034057862241752446,0.03322070010472089,0.03192684892565012,0.04331311653368175,0.753713494157935,0.0,0.8239238269812029,0.3799535793910984,0.4646104316423134,0.0038592718192376196,0.245527652092278
D1,train,train,0,16,16,0.0018564014389994554,-0.00010113828636804101,0.9931656690085988,0.0,0.002609898721857462,-0.0003212297012851195,0.043050738517194986,0.04331311653368175,0.9927904954915647,0.0,0.9642980242867437,0.6827081530860779,0.7113498784793268,0.0018042649535345845,0.2426141845062375
D1,train,train,50,16,16,0.0067549573723226786,0.0017370101804772275,0.9921866850304691,0.0,0.012981602863874286,0.004708756311856632,0.04372205724939704,0.04331311653368175,1.019769832826216,0.0,1.4573142592542192,0.7462164795411799,0.517274255222809,0.0044457254552980885,0.24289643671363592
D1,train,train,100,16,16,0.019360576290637255,0.010631233630192582,0.8806523400435611,0.0,0.03997338638873771,0.03467046678997576,0.03528252022806555,0.04331311653368175,0.831626655815393,0.0,1.3973439324553236,-0.015963823286373375,0.011279078392196228,0.007166466733906418,0.2447013771161437
D1,train,train,200,16,16,0.01145709806587547,-0.00041108096775133163,0.9749415116607167,0.0,0.022915375709999353,-0.001558182975713862,0.0317972342018038,0.04331311653368175,0.7494723985051019,0.0,1.0370734595314366,0.4997984897604399,0.48455693725537735,0.003775961959036067,0.24279929790645838
D1,train,train,300,16,16,0.00972685869783163,0.003382672770840145,0.9260137433207073,0.0,0.01930930168600753,0.010292901807133603,0.033540770527906716,0.04331311653368175,0.7914213496580011,0.0,1.0252505230814817,0.44390806974613456,0.4467394294911802,0.003764595356187783,0.24359894171357155
D1,train,train,400,16,16,0.011614835966611281,0.0045134467427487834,0.9064615530835124,0.0,0.023465696489438415,0.014872695894155186,0.03425295010674745,0.04331311653368175,0.8113286409184621,0.0,0.7800498112857828,0.39342300779090145,0.5057368311050173,0.0035649438650580123,0.24385299254208803
D1,train,train,500,16,16,0.042339204461313784,0.039356862544082105,1.0056421507301347,0.0,0.09964061481878161,0.09865307388827205,0.0582969686947763,0.04331311653368175,1.3795041781093924,0.0,2.0887580123042135,-0.5747614781867613,-0.2862777077803976,0.012655075755901635,0.24615744780749083
D1,train,train,600,16,16,0.0158712639240548,-0.006713676775689237,0.9407407997004852,0.0,0.028540736762806773,-0.009427845550817437,0.032489380333572626,0.04331311653368175,0.7663903445342379,0.0,0.9064368359137979,0.4519200324609686,0.4960577730038476,0.004130751811317168,0.24214837979525328
D1,train,train,700,16,16,0.0157081758370623,0.010934931749943644,0.7995179433455637,0.0,0.03404724143911153,0.0294748597079888,0.022325662430375814,0.04331311653368175,0.5275129147310825,0.0,0.9339514439367788,0.25861073040921556,0.283683991749231,0.0053793113911524415,0.24516997020691633
D1,train,train,800,16,16,0.011545609566383064,0.0005342920994735323,0.9920742316749932,0.0,0.020196000288706273,-0.0018968730882988893,0.03826906031463295,0.04331311653368175,0.9006871819517971,0.0,1.1726680274932693,0.6554354214615903,0.5590360505933221,0.004435464332345873,0.24278983566910028
D1,train,train,900,16,16,0.01230622734874487,0.00869766340838396,0.8668653123270206,0.0,0.022703722643200308,0.019170920775650302,0.039059608010575175,0.04331311653368175,0.9224328314398377,0.0,1.2032499688880507,0.5044577032461972,0.43256183988089986,0.004290969067369588,0.24452835600823164
D1,train,train,1000,16,16,0.016457288875244558,0.014390978496521711,0.7980970395170587,0.0,0.034057862241752446,0.03322070010472089,0.03192684892565012,0.04331311653368175,0.753713494157935,0.0,0.8239238269812029,0.3799535793910984,0.4646104316423134,0.0038592718192376196,0.245527652092278
D1,validation_test_seen,eval,0,32,32,0.00393119957880117,0.0008521096053755173,0.9830716099238251,0.0,0.007355519541306421,0.0013392770722475689,0.04165380430640653,0.04316521727014333,0.9673891580699109,0.0,1.0186962460515177,0.6369977162820093,0.6285702924571466,0.002279904354509199,0.24357456481084228
D1,validation_test_seen,eval,50,32,32,0.006583796508493833,0.0018055375743415425,1.0016794457719418,0.0,0.013733138170209713,0.0048097777435032185,0.04444287228398025,0.04316521727014333,1.04205361178945,0.0,1.3611815260867661,0.6814054427785888,0.496746801741115,0.004270131001248956,0.24356246646493673
D1,validation_test_seen,eval,100,32,32,0.01399171793309506,0.00510862081500818,0.9313008181763618,0.0,0.029607139149447903,0.022912879936484387,0.036605709814466536,0.04316521727014333,0.8655332581082361,0.0,1.2344276986940863,0.15001728126972436,0.12371497903203554,0.005743458823417313,0.24439701903611422
D1,validation_test_seen,eval,200,32,32,0.010679005150450394,-0.0022299827648453174,1.011722033721298,0.0,0.02305367455119267,-0.0074993692578573246,0.03316297638230026,0.04316521727014333,0.783206940339116,0.0,1.145156055854591,0.5320131210350417,0.45930749771727053,0.00389966835064115,0.24304249230772257
D1,validation_test_seen,eval,300,32,32,0.00850256897683721,0.0016788018463103072,0.9617028487737924,0.0,0.018160628780606203,0.005821017965899955,0.03536879312014207,0.04316521727014333,0.8363301697215615,0.0,1.063155063521428,0.4632035184181878,0.43135292913032547,0.0037568289626506157,0.24382442608475685
D1,validation_test_seen,eval,400,32,32,0.009332819594419561,0.0021592384195940895,0.9474953370619011,0.0,0.02023278083652258,0.009262177974505903,0.036857291066553444,0.04316521727014333,0.8719673580320411,0.0,0.873924370261857,0.4464796461181229,0.5017357741680046,0.0034645116393221542,0.243960652500391
D1,validation_test_seen,eval,500,32,32,0.03480600379407406,0.03163241228321567,1.0055621876620422,0.0,0.09197218506596982,0.09106721892021596,0.05785682622808963,0.04316521727014333,1.3776723309798498,0.0,2.379390014289824,-0.7135201526616624,-0.31166164182090333,0.012698329199338332,0.2460407787002623
D1,validation_test_seen,eval,600,32,32,0.015266623493516818,-0.008424430941886385,0.9729006999454879,0.0,0.029794527916237712,-0.015395032707601786,0.03412111569195986,0.04316521727014333,0.8115112740359416,0.0,1.1068557726992794,0.5705752248754303,0.49986261250630143,0.004286270086595323,0.24247956182807684
D1,validation_test_seen,eval,700,32,32,0.012571930885314941,0.007827258582892682,0.8410761800044577,0.0,0.030106862890534103,0.024668776197358966,0.024930904095526785,0.04316521727014333,0.5888271870989268,0.0,1.093026079438245,0.3037122335495173,0.28201147536557697,0.005309727755957283,0.24516834039241076
D1,validation_test_seen,eval,800,32,32,0.010628255957271904,-0.0007330280650421628,1.0167108537101435,0.0,0.019967695086961612,-0.005703811049897922,0.04019834031350911,0.04316521727014333,0.9485906452582976,0.0,1.3071928596464912,0.7303891122564946,0.5518892008833046,0.00458070316381054,0.24318323656916618
D1,validation_test_seen,eval,900,32,32,0.010361801498220302,0.0065020614201785065,0.8880292158704974,0.0,0.019980197394033894,0.014982017659349367,0.03944674460217357,0.04316521727014333,0.9286198455377475,0.0,1.1692096183401652,0.5142068201502046,0.43877254321400344,0.004016849961772095,0.24477026890963316
D1,validation_test_seen,eval,1000,32,32,0.01298766907711979,0.010661973879905418,0.8342743574680451,0.0,0.028818417311413214,0.027450267429230735,0.03354963631136343,0.04316521727014333,0.7970440176274162,0.0,0.8775689473049387,0.40304258149163635,0.4542767469904536,0.003728859570401255,0.24550491059198976
D1,validation_test_seen,train,0,32,32,0.00393119957880117,0.0008521096053755173,0.9830716099238251,0.0,0.007355519541306421,0.0013392770722475689,0.04165380430640653,0.04316521727014333,0.9673891580699109,0.0,1.0186962460515177,0.6369977162820093,0.6285702924571466,0.002279904354509199,0.24357456481084228
D1,validation_test_seen,train,50,32,32,0.006583796508493833,0.0018055375743415425,1.0016794457719418,0.0,0.013733138170209713,0.0048097777435032185,0.04444287228398025,0.04316521727014333,1.04205361178945,0.0,1.3611815260867661,0.6814054427785888,0.496746801741115,0.004270131001248956,0.24356246646493673
D1,validation_test_seen,train,100,32,32,0.01399171793309506,0.00510862081500818,0.9313008181763618,0.0,0.029607139149447903,0.022912879936484387,0.036605709814466536,0.04316521727014333,0.8655332581082361,0.0,1.2344276986940863,0.15001728126972436,0.12371497903203554,0.005743458823417313,0.24439701903611422
D1,validation_test_seen,train,200,32,32,0.010679005150450394,-0.0022299827648453174,1.011722033721298,0.0,0.02305367455119267,-0.0074993692578573246,0.03316297638230026,0.04316521727014333,0.783206940339116,0.0,1.145156055854591,0.5320131210350417,0.45930749771727053,0.00389966835064115,0.24304249230772257
D1,validation_test_seen,train,300,32,32,0.00850256897683721,0.0016788018463103072,0.9617028487737924,0.0,0.018160628780606203,0.005821017965899955,0.03536879312014207,0.04316521727014333,0.8363301697215615,0.0,1.063155063521428,0.4632035184181878,0.43135292913032547,0.0037568289626506157,0.24382442608475685
D1,validation_test_seen,train,400,32,32,0.009332819594419561,0.0021592384195940895,0.9474953370619011,0.0,0.02023278083652258,0.009262177974505903,0.036857291066553444,0.04316521727014333,0.8719673580320411,0.0,0.873924370261857,0.4464796461181229,0.5017357741680046,0.0034645116393221542,0.243960652500391
D1,validation_test_seen,train,500,32,32,0.03480600379407406,0.03163241228321567,1.0055621876620422,0.0,0.09197218506596982,0.09106721892021596,0.05785682622808963,0.04316521727014333,1.3776723309798498,0.0,2.379390014289824,-0.7135201526616624,-0.31166164182090333,0.012698329199338332,0.2460407787002623
