arm,split,mode,step,image_count,eligible_image_count,mae_m,bias_m,mean_image_std_ratio,below_min_fraction,foreground_mae_m,foreground_bias_m,foreground_pred_std_m,foreground_gt_std_m,foreground_mean_image_std_ratio,flat_image_fraction,local_contrast_ratio,local_slope,local_correlation,local_difference_mae_m,sigmoid_derivative_mean
P4_normal,validation_test_seen,train,500,32,32,0.013546466449042782,0.001614830648577481,0.8717053830212694,0.0,0.026639699994120747,0.016207364099727783,0.03263785218587145,0.04316521727014333,0.7757475956190704,0.0,0.7745343742098736,0.2413932245192192,0.2982339835503734,0.004075898032169789,0.24435535818338394
P4_remove_view_fixed_clip,train,eval,400,16,16,0.011614835966611281,0.0045134467427487834,0.9064615530835124,0.0,0.023465696489438415,0.014872695894155186,0.03425295010674745,0.04331311653368175,0.8113286409184621,0.0,0.7800498112857828,0.39342300779090145,0.5057368311050173,0.0035649438650580123,0.24385299254208803
P4_remove_view_fixed_clip,train,eval,450,16,16,0.006412577931769192,0.0038196978882467647,0.933893728086894,0.0,0.012078189378371462,0.008033574293222046,0.0381470515858382,0.04331311653368175,0.8918112788008036,0.0,0.9827169085464862,0.5794374276442805,0.5955952155152573,0.0033238276373595,0.2435373468324542
P4_remove_view_fixed_clip,train,eval,500,16,16,0.0045140635629650205,-0.00045567368397314567,0.9534335304108524,0.0,0.0070421779819298536,0.0008657332118673366,0.040392737719230354,0.04331311653368175,0.9373241454983784,0.0,1.0001712617599685,0.6243041954586699,0.6281331024223584,0.0029502818870241754,0.2428575363010168
P4_remove_view_fixed_clip,train,train,400,16,16,0.011614835966611281,0.0045134467427487834,0.9064615530835124,0.0,0.023465696489438415,0.014872695894155186,0.03425295010674745,0.04331311653368175,0.8113286409184621,0.0,0.7800498112857828,0.39342300779090145,0.5057368311050173,0.0035649438650580123,0.24385299254208803
P4_remove_view_fixed_clip,train,train,450,16,16,0.006412577931769192,0.0038196978882467647,0.933893728086894,0.0,0.012078189378371462,0.008033574293222046,0.0381470515858382,0.04331311653368175,0.8918112788008036,0.0,0.9827169085464862,0.5794374276442805,0.5955952155152573,0.0033238276373595,0.2435373468324542
P4_remove_view_fixed_clip,train,train,500,16,16,0.0045140635629650205,-0.00045567368397314567,0.9534335304108524,0.0,0.0070421779819298536,0.0008657332118673366,0.040392737719230354,0.04331311653368175,0.9373241454983784,0.0,1.0001712617599685,0.6243041954586699,0.6281331024223584,0.0029502818870241754,0.2428575363010168
P4_remove_view_fixed_clip,validation_test_seen,eval,400,32,32,0.009332819594419561,0.0021592384195940895,0.9474953370619011,0.0,0.02023278083652258,0.009262177974505903,0.036857291066553444,0.04316521727014333,0.8719673580320411,0.0,0.873924370261857,0.4464796461181229,0.5017357741680046,0.0034645116393221542,0.243960652500391
P4_remove_view_fixed_clip,validation_test_seen,eval,450,32,32,0.006367903341015335,0.0032959028653749556,0.9481382196608223,0.0,0.012582006675074808,0.007189352246541603,0.03965234715724364,0.04316521727014333,0.9288855474364802,0.0,1.0061513883323525,0.5890984118028534,0.5795688373672137,0.0032268823561025783,0.24407406756654382
P4_remove_view_fixed_clip,validation_test_seen,eval,500,32,32,0.004859918066358659,-0.0003157868519538809,0.9584813255989033,0.0,0.009155401683528908,0.001074370051810547,0.040994234557729214,0.04316521727014333,0.9539851921798769,0.0,1.020528553756849,0.6094644772483212,0.596094815487395,0.0029963704728288576,0.24359210627153516
